"Step","nanogpt - test_acc_1digit","nanogpt - test_acc_1digit__MIN","nanogpt - test_acc_1digit__MAX","nanogpt - test_acc_2digit","nanogpt - test_acc_2digit__MIN","nanogpt - test_acc_2digit__MAX","nanogpt - test_acc_3digit","nanogpt - test_acc_3digit__MIN","nanogpt - test_acc_3digit__MAX","nanogpt - test_acc_4digit","nanogpt - test_acc_4digit__MIN","nanogpt - test_acc_4digit__MAX"
"40","0","0","0","0","0","0","0","0","0","0","0","0"
"140","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0","0","0","0"
"240","0","0","0","0","0","0","0","0","0","0","0","0"
"340","0","0","0","0","0","0","0","0","0","0","0","0"
"440","0","0","0","0","0","0","0","0","0","0","0","0"
"540","0","0","0","0","0","0","0","0","0","0","0","0"
"640","0.09000000357627869","0.09000000357627869","0.09000000357627869","0","0","0","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0"
"740","0.28999999165534973","0.28999999165534973","0.28999999165534973","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.5199999809265137","0.5199999809265137","0.5199999809265137","0","0","0"
"840","0.6600000262260437","0.6600000262260437","0.6600000262260437","0","0","0","0.8500000238418579","0.8500000238418579","0.8500000238418579","0","0","0"
"940","0.800000011920929","0.800000011920929","0.800000011920929","0.019999999552965164","0.019999999552965164","0.019999999552965164","0.9200000166893005","0.9200000166893005","0.9200000166893005","0","0","0"
"1040","0.7400000095367432","0.7400000095367432","0.7400000095367432","0","0","0","0.9300000071525574","0.9300000071525574","0.9300000071525574","0","0","0"
"1140","0.7599999904632568","0.7599999904632568","0.7599999904632568","0","0","0","0.9599999785423279","0.9599999785423279","0.9599999785423279","0","0","0"
"1240","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0"
"1340","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.9599999785423279","0.9599999785423279","0.9599999785423279","0","0","0"
"1440","0.75","0.75","0.75","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"1540","0.7900000214576721","0.7900000214576721","0.7900000214576721","0","0","0","0.949999988079071","0.949999988079071","0.949999988079071","0","0","0"
"1640","0.7900000214576721","0.7900000214576721","0.7900000214576721","0","0","0","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0"
"1740","0.8899999856948853","0.8899999856948853","0.8899999856948853","0","0","0","1","1","1","0","0","0"
"1840","0.8600000143051147","0.8600000143051147","0.8600000143051147","0","0","0","0.9599999785423279","0.9599999785423279","0.9599999785423279","0","0","0"
"1940","0.9100000262260437","0.9100000262260437","0.9100000262260437","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"2040","0.7699999809265137","0.7699999809265137","0.7699999809265137","0","0","0","1","1","1","0","0","0"
"2140","0.8799999952316284","0.8799999952316284","0.8799999952316284","0","0","0","1","1","1","0","0","0"
"2240","0.8700000047683716","0.8700000047683716","0.8700000047683716","0","0","0","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0"
"2340","0.8799999952316284","0.8799999952316284","0.8799999952316284","0","0","0","0.9700000286102295","0.9700000286102295","0.9700000286102295","0","0","0"
"2440","0.8799999952316284","0.8799999952316284","0.8799999952316284","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"2540","0.8299999833106995","0.8299999833106995","0.8299999833106995","0","0","0","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0"
"2640","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"2740","0.8100000023841858","0.8100000023841858","0.8100000023841858","0","0","0","1","1","1","0","0","0"
"2840","0.7300000190734863","0.7300000190734863","0.7300000190734863","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"2940","0.800000011920929","0.800000011920929","0.800000011920929","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"3040","0.8799999952316284","0.8799999952316284","0.8799999952316284","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"3140","0.7699999809265137","0.7699999809265137","0.7699999809265137","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"3240","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"3340","0.6299999952316284","0.6299999952316284","0.6299999952316284","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"3440","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"3540","0.8299999833106995","0.8299999833106995","0.8299999833106995","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"3640","0.8500000238418579","0.8500000238418579","0.8500000238418579","0","0","0","1","1","1","0","0","0"
"3740","0.8500000238418579","0.8500000238418579","0.8500000238418579","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"3840","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"3940","0.75","0.75","0.75","0","0","0","1","1","1","0","0","0"
"4040","0.8299999833106995","0.8299999833106995","0.8299999833106995","0","0","0","1","1","1","0","0","0"
"4140","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"4240","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"4340","0.8600000143051147","0.8600000143051147","0.8600000143051147","0","0","0","1","1","1","0","0","0"
"4440","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","1","1","1","0","0","0"
"4540","0.8999999761581421","0.8999999761581421","0.8999999761581421","0","0","0","1","1","1","0","0","0"
"4640","0.8299999833106995","0.8299999833106995","0.8299999833106995","0","0","0","1","1","1","0","0","0"
"4740","0.8600000143051147","0.8600000143051147","0.8600000143051147","0","0","0","1","1","1","0","0","0"
"4840","0.949999988079071","0.949999988079071","0.949999988079071","0","0","0","1","1","1","0","0","0"
"4940","0.7400000095367432","0.7400000095367432","0.7400000095367432","0","0","0","1","1","1","0","0","0"
"5040","0.8999999761581421","0.8999999761581421","0.8999999761581421","0","0","0","1","1","1","0","0","0"
"5140","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","1","1","1","0","0","0"
"5240","0.7799999713897705","0.7799999713897705","0.7799999713897705","0","0","0","1","1","1","0","0","0"
"5340","0.8899999856948853","0.8899999856948853","0.8899999856948853","0","0","0","1","1","1","0","0","0"
"5440","0.9300000071525574","0.9300000071525574","0.9300000071525574","0","0","0","1","1","1","0","0","0"
"5540","0.7099999785423279","0.7099999785423279","0.7099999785423279","0","0","0","1","1","1","0","0","0"
"5640","0.8899999856948853","0.8899999856948853","0.8899999856948853","0","0","0","1","1","1","0","0","0"
"5740","0.6800000071525574","0.6800000071525574","0.6800000071525574","0","0","0","1","1","1","0","0","0"
"5840","0.75","0.75","0.75","0","0","0","1","1","1","0","0","0"
"5940","0.7699999809265137","0.7699999809265137","0.7699999809265137","0","0","0","1","1","1","0","0","0"
"6040","0.8199999928474426","0.8199999928474426","0.8199999928474426","0","0","0","1","1","1","0","0","0"
"6140","0.9200000166893005","0.9200000166893005","0.9200000166893005","0","0","0","1","1","1","0","0","0"
"6240","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"6340","0.8600000143051147","0.8600000143051147","0.8600000143051147","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"6440","0.8399999737739563","0.8399999737739563","0.8399999737739563","0","0","0","1","1","1","0","0","0"
"6540","0.9300000071525574","0.9300000071525574","0.9300000071525574","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"6640","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"6740","0.8500000238418579","0.8500000238418579","0.8500000238418579","0","0","0","1","1","1","0","0","0"
"6840","0.9200000166893005","0.9200000166893005","0.9200000166893005","0","0","0","1","1","1","0","0","0"
"6940","0.9399999976158142","0.9399999976158142","0.9399999976158142","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"7040","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"7140","0.7799999713897705","0.7799999713897705","0.7799999713897705","0","0","0","1","1","1","0","0","0"
"7240","0.7900000214576721","0.7900000214576721","0.7900000214576721","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"7340","0.7900000214576721","0.7900000214576721","0.7900000214576721","0","0","0","1","1","1","0","0","0"
"7440","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"7540","0.6700000166893005","0.6700000166893005","0.6700000166893005","0","0","0","1","1","1","0","0","0"
"7640","0.75","0.75","0.75","0","0","0","1","1","1","0","0","0"
"7740","0.8500000238418579","0.8500000238418579","0.8500000238418579","0","0","0","1","1","1","0","0","0"
"7840","0.8999999761581421","0.8999999761581421","0.8999999761581421","0","0","0","1","1","1","0","0","0"
"7940","0.75","0.75","0.75","0","0","0","1","1","1","0","0","0"
"8040","0.7599999904632568","0.7599999904632568","0.7599999904632568","0","0","0","1","1","1","0","0","0"
"8140","0.8500000238418579","0.8500000238418579","0.8500000238418579","0","0","0","1","1","1","0","0","0"
"8240","0.8299999833106995","0.8299999833106995","0.8299999833106995","0","0","0","1","1","1","0","0","0"
"8340","0.8799999952316284","0.8799999952316284","0.8799999952316284","0","0","0","1","1","1","0","0","0"
"8440","0.8199999928474426","0.8199999928474426","0.8199999928474426","0","0","0","1","1","1","0","0","0"
"8540","0.8899999856948853","0.8899999856948853","0.8899999856948853","0","0","0","1","1","1","0","0","0"
"8640","0.8299999833106995","0.8299999833106995","0.8299999833106995","0","0","0","1","1","1","0","0","0"
"8740","0.7699999809265137","0.7699999809265137","0.7699999809265137","0","0","0","1","1","1","0","0","0"
"8840","0.8500000238418579","0.8500000238418579","0.8500000238418579","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"8940","0.7900000214576721","0.7900000214576721","0.7900000214576721","0","0","0","1","1","1","0","0","0"
"9040","0.6899999976158142","0.6899999976158142","0.6899999976158142","0","0","0","1","1","1","0","0","0"
"9140","0.75","0.75","0.75","0","0","0","1","1","1","0","0","0"
"9240","0.8199999928474426","0.8199999928474426","0.8199999928474426","0","0","0","1","1","1","0","0","0"
"9340","0.8399999737739563","0.8399999737739563","0.8399999737739563","0","0","0","1","1","1","0","0","0"
"9440","0.8600000143051147","0.8600000143051147","0.8600000143051147","0","0","0","1","1","1","0","0","0"
"9540","0.8199999928474426","0.8199999928474426","0.8199999928474426","0","0","0","1","1","1","0","0","0"
"9640","0.8500000238418579","0.8500000238418579","0.8500000238418579","0","0","0","1","1","1","0","0","0"
"9740","0.8100000023841858","0.8100000023841858","0.8100000023841858","0","0","0","1","1","1","0","0","0"
"9840","0.8500000238418579","0.8500000238418579","0.8500000238418579","0","0","0","1","1","1","0","0","0"
"9940","0.8399999737739563","0.8399999737739563","0.8399999737739563","0","0","0","1","1","1","0","0","0"