"Step","universal_transformer_3_steps - test_acc_1digit","universal_transformer_3_steps - test_acc_1digit__MIN","universal_transformer_3_steps - test_acc_1digit__MAX","universal_transformer_3_steps - test_acc_2digit","universal_transformer_3_steps - test_acc_2digit__MIN","universal_transformer_3_steps - test_acc_2digit__MAX","universal_transformer_3_steps - test_acc_3digit","universal_transformer_3_steps - test_acc_3digit__MIN","universal_transformer_3_steps - test_acc_3digit__MAX","universal_transformer_3_steps - test_acc_4digit","universal_transformer_3_steps - test_acc_4digit__MIN","universal_transformer_3_steps - test_acc_4digit__MAX"
"40","0","0","0","0","0","0","0","0","0","0","0","0"
"140","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0","0","0","0","0","0","0"
"240","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0","0","0","0","0","0","0"
"340","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0","0","0","0","0","0","0"
"440","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0","0","0","0","0","0","0"
"540","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0"
"640","0","0","0","0","0","0","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0"
"740","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0","0.029999999329447746","0.029999999329447746","0.029999999329447746","0","0","0"
"840","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0","0.15000000596046448","0.15000000596046448","0.15000000596046448","0","0","0"
"940","0.09000000357627869","0.09000000357627869","0.09000000357627869","0","0","0","0.5799999833106995","0.5799999833106995","0.5799999833106995","0","0","0"
"1040","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0","0.7599999904632568","0.7599999904632568","0.7599999904632568","0","0","0"
"1140","0.5","0.5","0.5","0","0","0","0.8999999761581421","0.8999999761581421","0.8999999761581421","0","0","0"
"1240","0.5600000023841858","0.5600000023841858","0.5600000023841858","0","0","0","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0"
"1340","0.8700000047683716","0.8700000047683716","0.8700000047683716","0","0","0","0.9599999785423279","0.9599999785423279","0.9599999785423279","0","0","0"
"1440","0.8100000023841858","0.8100000023841858","0.8100000023841858","0","0","0","1","1","1","0","0","0"
"1540","0.9399999976158142","0.9399999976158142","0.9399999976158142","0","0","0","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0"
"1640","0.9700000286102295","0.9700000286102295","0.9700000286102295","0","0","0","0.9700000286102295","0.9700000286102295","0.9700000286102295","0","0","0"
"1740","1","1","1","0","0","0","1","1","1","0","0","0"
"1840","0.8799999952316284","0.8799999952316284","0.8799999952316284","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"1940","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0","1","1","1","0","0","0"
"2040","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0"
"2140","1","1","1","0","0","0","1","1","1","0","0","0"
"2240","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"2340","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0","1","1","1","0","0","0"
"2440","0.9700000286102295","0.9700000286102295","0.9700000286102295","0","0","0","1","1","1","0","0","0"
"2540","0.9300000071525574","0.9300000071525574","0.9300000071525574","0","0","0","1","1","1","0","0","0"
"2640","1","1","1","0","0","0","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0"
"2740","1","1","1","0","0","0","1","1","1","0","0","0"
"2840","1","1","1","0","0","0","1","1","1","0","0","0"
"2940","1","1","1","0","0","0","1","1","1","0","0","0"
"3040","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0","1","1","1","0","0","0"
"3140","1","1","1","0","0","0","1","1","1","0","0","0"
"3240","1","1","1","0","0","0","1","1","1","0","0","0"
"3340","1","1","1","0","0","0","1","1","1","0","0","0"
"3440","1","1","1","0","0","0","1","1","1","0","0","0"
"3540","1","1","1","0","0","0","1","1","1","0","0","0"
"3640","1","1","1","0","0","0","1","1","1","0","0","0"
"3740","1","1","1","0","0","0","1","1","1","0","0","0"
"3840","1","1","1","0","0","0","1","1","1","0","0","0"
"3940","1","1","1","0","0","0","1","1","1","0","0","0"
"4040","1","1","1","0","0","0","1","1","1","0","0","0"
"4140","1","1","1","0","0","0","1","1","1","0","0","0"
"4240","1","1","1","0","0","0","1","1","1","0","0","0"
"4340","1","1","1","0","0","0","1","1","1","0","0","0"
"4440","1","1","1","0","0","0","1","1","1","0","0","0"
"4540","1","1","1","0","0","0","1","1","1","0","0","0"
"4640","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"4740","1","1","1","0","0","0","1","1","1","0","0","0"
"4840","1","1","1","0","0","0","1","1","1","0","0","0"
"4940","1","1","1","0","0","0","1","1","1","0","0","0"
"5040","1","1","1","0","0","0","1","1","1","0","0","0"
"5140","1","1","1","0","0","0","1","1","1","0","0","0"
"5240","0.9900000095367432","0.9900000095367432","0.9900000095367432","0","0","0","1","1","1","0","0","0"
"5340","1","1","1","0","0","0","1","1","1","0","0","0"
"5440","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"5540","1","1","1","0","0","0","1","1","1","0","0","0"
"5640","1","1","1","0.019999999552965164","0.019999999552965164","0.019999999552965164","1","1","1","0","0","0"
"5740","1","1","1","0","0","0","1","1","1","0","0","0"
"5840","1","1","1","0","0","0","1","1","1","0","0","0"
"5940","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"6040","1","1","1","0","0","0","1","1","1","0","0","0"
"6140","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"6240","1","1","1","0","0","0","1","1","1","0","0","0"
"6340","1","1","1","0","0","0","1","1","1","0","0","0"
"6440","1","1","1","0","0","0","1","1","1","0","0","0"
"6540","1","1","1","0","0","0","1","1","1","0","0","0"
"6640","1","1","1","0","0","0","1","1","1","0","0","0"
"6740","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"6840","1","1","1","0","0","0","1","1","1","0","0","0"
"6940","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0","1","1","1","0","0","0"
"7040","1","1","1","0","0","0","1","1","1","0","0","0"
"7140","1","1","1","0","0","0","1","1","1","0","0","0"
"7240","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"7340","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"7440","1","1","1","0","0","0","1","1","1","0","0","0"
"7540","1","1","1","0","0","0","1","1","1","0","0","0"
"7640","1","1","1","0","0","0","1","1","1","0","0","0"
"7740","1","1","1","0","0","0","1","1","1","0","0","0"
"7840","1","1","1","0","0","0","1","1","1","0","0","0"
"7940","1","1","1","0","0","0","1","1","1","0","0","0"
"8040","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"8140","1","1","1","0","0","0","1","1","1","0","0","0"
"8240","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"8340","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"8440","1","1","1","0","0","0","1","1","1","0","0","0"
"8540","1","1","1","0","0","0","1","1","1","0","0","0"
"8640","1","1","1","0","0","0","1","1","1","0","0","0"
"8740","1","1","1","0","0","0","1","1","1","0","0","0"
"8840","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"8940","1","1","1","0","0","0","1","1","1","0","0","0"
"9040","1","1","1","0","0","0","1","1","1","0","0","0"
"9140","1","1","1","0","0","0","1","1","1","0","0","0"
"9240","1","1","1","0","0","0","1","1","1","0","0","0"
"9340","1","1","1","0","0","0","1","1","1","0","0","0"
"9440","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"9540","1","1","1","0","0","0","1","1","1","0","0","0"
"9640","1","1","1","0","0","0","1","1","1","0","0","0"
"9740","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"9840","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0"
"9940","1","1","1","0","0","0","1","1","1","0","0","0"